기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2015	노원구	월계1동	1,421	5,453	2,191	1,593	657	3,017	1,086	814	427	29	21
2015	노원구	월계2동	971	3,439	1,498	1,018	322	2,095	955	287	188	39	33
2015	노원구	월계3동	945	3,588	1,849	946	335	2,240	1,181	311	253	91	80
2015	노원구	공릉2동	1,884	11,972	5,653	1,865	718	7,970	3,701	2,046	1,192	91	42
2015	노원구	하계1동	985	7,550	3,814	966	438	5,591	2,735	893	579	100	62
2015	노원구	하계2동	370	1,240	710	392	140	720	481	91	68	37	21
2015	노원구	중계본동	1,161	5,330	2,654	1,211	530	2,274	1,059	1,179	669	666	396
2015	노원구	중계1동	940	4,171	2,355	962	435	2,020	1,182	788	490	401	248
2015	노원구	중계4동	1,037	3,850	2,126	1,141	516	2,063	1,151	546	400	100	59
2015	노원구	상계1동	3,018	9,674	4,186	3,100	860	5,001	2,284	992	551	581	491
2015	노원구	상계2동	2,456	9,735	5,721	2,739	1,304	4,628	2,860	1,862	1,176	506	381
2015	노원구	상계5동	1,353	3,723	2,098	1,451	647	1,629	1,007	479	349	164	95
2015	노원구	상계8동	558	1,949	1,219	616	275	1,039	731	283	208	11	5
2015	노원구	상계9동	696	2,459	1,377	734	307	1,284	773	439	296	2	1
2015	노원구	상계10동	458	2,116	930	469	184	1,344	510	224	166	79	70
2015	노원구	상계3.4동	1,635	5,226	2,399	1,712	698	2,832	1,258	577	396	105	47
2015	노원구	상계6.7동	1,889	16,046	9,892	1,806	780	9,495	5,588	1,714	1,116	3,031	2,408
2015	노원구	중계2.3동	1,345	5,351	3,134	1,373	670	2,974	1,773	939	650	65	41
2015	노원구	공릉1동	2,705	11,864	5,840	2,683	1,023	7,257	3,505	1,592	1,081	332	231
2015	은평구	소계	24,179	87,693	44,814	25,681	10,807	44,135	23,072	12,814	6,953	5,063	3,982
2015	은평구	녹번동	1,850	9,221	4,388	1,764	661	5,467	2,624	1,391	644	599	459
2015	은평구	불광1동	1,684	6,968	4,319	1,757	810	2,936	1,674	929	623	1,346	1,212
2015	은평구	갈현1동	1,402	5,011	2,715	1,593	675	2,234	1,214	513	264	671	562
2015	은평구	갈현2동	1,541	5,733	3,336	1,697	765	2,845	1,705	833	583	358	283
2015	은평구	구산동	1,205	5,220	2,823	1,193	444	3,292	1,877	696	490	39	12
