기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2014	양천구	신월4동	1,149	4,271	1,625	1,218	476	2,150	871	797	202	106	76
2014	양천구	신월5동	977	4,412	1,896	1,031	404	2,666	1,053	560	314	155	125
2014	양천구	신월6동	1,625	3,412	1,148	1,645	313	1,257	577	402	180	108	78
2014	양천구	신월7동	1,393	5,685	2,000	1,477	562	3,356	917	661	369	191	152
2014	양천구	신정1동	1,099	4,645	2,434	1,119	561	2,649	1,218	486	329	391	326
2014	양천구	신정2동	1,080	3,552	1,966	1,121	517	1,835	1,096	423	278	173	75
2014	양천구	신정3동	2,036	9,120	3,936	1,970	774	5,368	2,411	1,426	583	356	168
2014	양천구	신정6동	698	5,242	2,543	672	330	3,992	1,858	397	245	181	110
2014	양천구	신정7동	1,019	4,262	1,863	1,003	387	2,748	1,149	261	143	250	184
2014	양천구	목5동	1,520	10,219	5,556	1,407	727	6,726	3,977	1,778	670	308	182
2014	양천구	신정4동	2,989	13,339	6,318	2,865	1,161	6,808	3,332	2,002	1,018	1,664	807
2014	강서구	소계	32,789	185,361	83,144	30,316	12,444	127,978	56,910	18,010	8,691	9,057	5,099
2014	강서구	염창동	2,182	15,418	5,813	1,717	744	11,637	4,163	1,437	635	627	271
2014	강서구	등촌1동	1,835	12,754	4,930	1,429	616	8,914	3,426	1,694	606	717	282
2014	강서구	등촌2동	724	3,267	1,446	679	271	2,182	908	239	123	167	144
2014	강서구	등촌3동	2,426	19,280	9,764	1,934	856	14,436	7,313	1,929	1,037	981	558
2014	강서구	화곡본동	1,397	4,023	2,165	1,442	603	1,702	1,062	751	399	128	101
2014	강서구	화곡2동	860	2,471	1,178	878	357	1,150	603	329	146	114	72
2014	강서구	화곡3동	1,147	4,424	2,621	1,161	534	1,984	1,251	599	297	680	539
2014	강서구	화곡4동	1,423	3,648	1,856	1,620	733	1,599	864	341	196	88	63
2014	강서구	화곡6동	1,832	11,365	5,231	1,702	748	6,498	2,402	1,667	862	1,498	1,219
2014	강서구	화곡8동	1,178	3,005	1,548	1,261	571	1,230	652	427	243	87	82
2014	강서구	가양1동	1,431	11,384	3,617	1,026	378	8,567	2,790	726	239	1,065	210
2014	강서구	가양2동	636	3,140	1,610	510	207	2,279	1,172	277	180	74	51
2014	강서구	가양3동	884	6,697	2,689	552	169	5,414	2,121	559	307	172	92
2014	강서구	발산1동	2,258	11,101	4,818	2,154	918	7,614	3,205	628	308	705	387
2014	강서구	공항동	1,840	33,538	16,040	1,588	647	30,677	14,848	1,038	482	235	63
2014	강서구	방화1동	3,287	8,755	3,821	3,345	949	4,210	2,225	862	536	338	111
2014	강서구	방화2동	1,887	10,884	4,437	1,646	747	7,784	2,898	1,271	689	183	103
2014	강서구	방화3동	917	4,323	1,701	808	274	2,940	1,083	408	277	167	67
2014	강서구	화곡1동	3,040	9,639	4,439	3,281	1,417	3,552	1,906	2,199	781	607	335
2014	강서구	우장산동	1,605	6,245	3,420	1,583	705	3,609	2,018	629	348	424	349
2014	구로구	소계	36,679	197,894	82,540	31,562	11,522	144,487	58,840	16,041	8,642	5,804	3,536
2014	구로구	신도림동	2,634	13,863	6,582	2,249	757	8,757	4,297	2,328	1,256	529	272
2014	구로구	구로1동	701	2,873	1,301	676	274	1,586	594	587	422	24	11
