날짜,구,검색지수
201803,도봉구,0.25
201803,동대문구,4.11
201803,동작구,0.62
201803,마포구,9.60
201803,서대문구,2.63
201803,서초구,3.31
201803,성동구,0.09
201803,성북구,0.39
201803,송파구,5.38
201803,양천구,1.82
201803,영등포구,6.58
201803,용산구,13.79
201803,은평구,0.66
201803,종로구,1.56
201803,중구,1.31
201803,중랑구,0.04
201804,강남구,21.87
201804,강동구,1.80
201804,강북구,2.45
201804,강서구,0.83
201804,관악구,0.74
201804,광진구,0.03
201804,구로구,2.94
201804,금천구,0.10
201804,노원구,5.71
201804,도봉구,0.14
201804,동대문구,3.85
201804,동작구,0.62
201804,마포구,8.82
201804,서대문구,2.41
201804,서초구,2.84
201804,성동구,0.07
201804,성북구,0.29
201804,송파구,5.18
201804,양천구,1.60
201804,영등포구,5.27
201804,용산구,11.15
201804,은평구,0.62
201804,종로구,1.47
201804,중구,1.15
201804,중랑구,0.04
201805,강남구,21.20
201805,강동구,1.71
201805,강북구,2.16
201805,강서구,0.88
201805,관악구,1.09
201805,광진구,0.04
201805,구로구,3.03
201805,금천구,0.10
201805,노원구,4.02
201805,도봉구,0.20
201805,동대문구,4.93
201805,동작구,0.52
201805,마포구,8.47
201805,서대문구,3.29
201805,서초구,3.02
201805,성동구,0.02
201805,성북구,0.27
201805,송파구,4.75
201805,양천구,1.54
201805,영등포구,5.44
201805,용산구,10.59
201805,은평구,0.60
201805,종로구,1.55
201805,중구,1.10
201805,중랑구,0.02
201806,강남구,18.53
201806,강동구,1.67
201806,강북구,2.20
201806,강서구,0.82
201806,관악구,1.11
201806,광진구,0.01
201806,구로구,3.24
201806,금천구,0.24
201806,노원구,3.27
201806,도봉구,0.11
201806,동대문구,3.64
201806,동작구,0.54
201806,마포구,8.40
201806,서대문구,2.60
201806,서초구,3.14
201806,성동구,0.06
201806,성북구,0.30
201806,송파구,5.51
201806,양천구,1.52
201806,영등포구,4.88
201806,용산구,11.68
201806,은평구,0.59
201806,종로구,1.52
201806,중구,1.13
201806,중랑구,0.04
201807,강남구,18.57
201807,강동구,1.60
201807,강북구,2.73
201807,강서구,0.88
201807,관악구,1.04
201807,광진구,0.03
201807,구로구,3.28
201807,금천구,0.19
201807,노원구,2.82
201807,도봉구,0.19
201807,동대문구,4.09
201807,동작구,0.52
201807,마포구,9.25
201807,서대문구,2.39
201807,서초구,3.18
201807,성동구,0.03
201807,성북구,0.23
201807,송파구,4.23
201807,양천구,1.61
201807,영등포구,5.90
201807,용산구,15.56
201807,은평구,0.72
201807,종로구,1.51
201807,중구,2.34
201807,중랑구,0.06
201808,강남구,22.91
201808,강동구,2.45
201808,강북구,6.57
201808,강서구,1.19
201808,관악구,1.52
201808,광진구,0.06
201808,구로구,5.04
201808,금천구,1.05
201808,노원구,4.81
201808,도봉구,0.36
201808,동대문구,6.23
201808,동작구,0.94
201808,마포구,13.29
201808,서대문구,4.40
201808,서초구,4.47
201808,성동구,0.05
201808,성북구,0.40
201808,송파구,5.29
201808,양천구,2.00
201808,영등포구,9.38
201808,용산구,23.14
201808,은평구,1.46
201808,종로구,2.50
201808,중구,1.86
201808,중랑구,0.07
201809,강남구,23.21
201809,강동구,2.35
201809,강북구,5.49
201809,강서구,1.30
201809,관악구,1.48
201809,광진구,0.09
201809,구로구,4.89
201809,금천구,2.36
201809,노원구,5.27
201809,도봉구,0.59
201809,동대문구,4.95
201809,동작구,0.79
201809,마포구,11.65
201809,서대문구,3.96
201809,서초구,3.85
201809,성동구,0.04
201809,성북구,0.46
201809,송파구,4.98
201809,양천구,1.97
201809,영등포구,6.66
201809,용산구,17.54
201809,은평구,0.98
201809,종로구,2.24
201809,중구,1.59
201809,중랑구,0.13
201810,강남구,20.43
201810,강동구,1.68
201810,강북구,3.21
201810,강서구,3.07
201810,관악구,0.88
201810,광진구,0.08
201810,구로구,3.74
201810,금천구,0.28
201810,노원구,3.79
201810,도봉구,0.45
201810,동대문구,4.08
201810,동작구,0.60
201810,마포구,9.32
201810,서대문구,2.62
201810,서초구,3.38
201810,성동구,0.02
201810,성북구,0.50
201810,송파구,4.41
201810,양천구,2.06
201810,영등포구,5.29
201810,용산구,12.16
201810,은평구,0.69
201810,종로구,1.70
201810,중구,1.40
201810,중랑구,0.06
201811,강남구,17.25
201811,강동구,1.57
201811,강북구,2.24
201811,강서구,0.95
201811,관악구,0.94
201811,광진구,0.03
201811,구로구,3.01
201811,금천구,0.14
201811,노원구,3.09
201811,도봉구,0.28
201811,동대문구,3.32
201811,동작구,0.55
201811,마포구,8.65
201811,서대문구,2.50
201811,서초구,3.02
201811,성동구,0.05
201811,성북구,0.28
201811,송파구,4.58
201811,양천구,1.63
201811,영등포구,4.80
201811,용산구,10.73
201811,은평구,0.52
201811,종로구,1.46
201811,중구,1.08
201811,중랑구,0.03
201812,강남구,18.08
201812,강동구,1.52
201812,강북구,2.18
201812,강서구,1.81
201812,관악구,0.85
201812,광진구,0.01
201812,구로구,2.90
201812,금천구,0.17
201812,노원구,2.70
201812,도봉구,0.22
201812,동대문구,3.79
201812,동작구,0.57
201812,마포구,7.45
201812,서대문구,2.73
201812,서초구,2.99
201812,성동구,0.03
201812,성북구,0.23
201812,송파구,4.62
201812,양천구,1.53
201812,영등포구,4.79
201812,용산구,9.69
201812,은평구,0.43
201812,종로구,1.58
201812,중구,1.06
201812,중랑구,0.02
201901,강남구,19.58
201901,강동구,2.26
201901,강북구,2.15
201901,강서구,0.98
201901,관악구,0.97
201901,광진구,0.05
201901,구로구,3.22
201901,금천구,0.20
201901,노원구,2.99
201901,도봉구,0.24
201901,동대문구,4.63
201901,동작구,0.63
201901,마포구,9.25
201901,서대문구,2.60
201901,서초구,3.32
201901,성동구,0.01
201901,성북구,0.29
201901,송파구,6.26
201901,양천구,2.06
201901,영등포구,5.45
201901,용산구,13.18
201901,은평구,0.70
201901,종로구,1.82
201901,중구,1.10
201901,중랑구,0.03
201902,강남구,21.01
201902,강동구,2.63
201902,강북구,2.69
201902,강서구,0.97
201902,관악구,0.95
201902,광진구,0.06
201902,구로구,3.35
201902,금천구,0.19
201902,노원구,3.38
201902,도봉구,0.24
201902,동대문구,4.45
201902,동작구,0.62
201902,마포구,8.72
201902,서대문구,2.60
201902,서초구,3.39
201902,성동구,0.02
201902,성북구,0.26
201902,송파구,5.77
201902,양천구,2.14
201902,영등포구,5.46
201902,용산구,12.24
201902,은평구,1.22
201902,종로구,1.96
201902,중구,1.28
201902,중랑구,0.07
201903,강남구,16.20
201903,강동구,2.14
201903,강북구,2.12
201903,강서구,0.78
201903,관악구,0.81
