날짜,구,지수
20181103,용산구,16.92
20181104,용산구,15.57
20181105,용산구,11.42
20181106,용산구,10.22
20181107,용산구,11.36
20181108,용산구,11.62
20181109,용산구,9.39
20181110,용산구,10.02
20181111,용산구,10.02
20181112,용산구,9.60
20181113,용산구,10.07
20181114,용산구,10.22
20181115,용산구,10.48
20181116,용산구,8.61
20181117,용산구,9.60
20181118,용산구,12.35
20181119,용산구,9.81
20181120,용산구,9.81
20181121,용산구,8.98
20181122,용산구,9.60
20181123,용산구,7.68
20181124,용산구,8.87
20181125,용산구,10.38
20181126,용산구,10.43
20181127,용산구,9.96
20181128,용산구,8.72
20181129,용산구,8.61
20181130,용산구,8.67
20181201,용산구,10.17
20181202,용산구,11.94
20181203,용산구,11.26
20181204,용산구,9.13
20181205,용산구,8.77
20181206,용산구,7.89
20181207,용산구,9.81
20181208,용산구,8.61
20181209,용산구,10.12
20181210,용산구,10.02
20181211,용산구,9.19
20181212,용산구,10.12
20181213,용산구,8.67
20181214,용산구,8.04
20181215,용산구,8.56
20181216,용산구,9.96
20181217,용산구,9.34
20181218,용산구,10.07
20181219,용산구,9.50
20181220,용산구,9.24
20181221,용산구,11.21
20181222,용산구,9.44
20181223,용산구,10.74
20181224,용산구,10.33
20181225,용산구,11.36
20181226,용산구,10.22
20181227,용산구,9.34
20181228,용산구,7.63
20181229,용산구,10.69
20181230,용산구,9.91
20181231,용산구,9.24
20190101,용산구,10.22
20190102,용산구,9.29
20190103,용산구,11.83
20190104,용산구,10.59
20190105,용산구,10.90
20190106,용산구,15.20
20190107,용산구,11.99
20190108,용산구,10.90
20190109,용산구,30.83
20190110,용산구,23.30
20190111,용산구,13.13
20190112,용산구,12.92
20190113,용산구,13.65
20190114,용산구,12.20
20190115,용산구,9.81
20190116,용산구,16.24
20190117,용산구,9.81
20190118,용산구,11.26
20190119,용산구,11.94
20190120,용산구,15.00
20190121,용산구,12.61
20190122,용산구,11.94
20190123,용산구,14.58
20190124,용산구,12.51
20190125,용산구,10.79
20190126,용산구,12.30
20190127,용산구,15.36
20190128,용산구,12.56
20190129,용산구,11.88
20190130,용산구,12.25
20190131,용산구,10.74
20190201,용산구,9.08
20190202,용산구,8.72
20190203,용산구,11.52
20190204,용산구,13.13
20190205,용산구,15.36
20190206,용산구,15.41
20190207,용산구,13.96
20190208,용산구,15.31
20190209,용산구,20.76
20190210,용산구,17.07
20190211,용산구,13.39
20190212,용산구,11.36
20190213,용산구,10.95
20190214,용산구,10.07
20190215,용산구,8.93
20190216,용산구,10.69
20190217,용산구,13.54
20190218,용산구,11.73
20190219,용산구,13.28
20190220,용산구,11.52
20190221,용산구,11.05
20190222,용산구,10.02
20190223,용산구,10.33
20190224,용산구,11.68
20190225,용산구,12.20
20190226,용산구,11.99
20190227,용산구,9.86
20190228,용산구,9.81
20190301,용산구,9.55
20190302,용산구,12.45
20190303,용산구,13.80
20190304,용산구,9.76
20190305,용산구,8.35
20190306,용산구,9.44
20190307,용산구,10.69
20190308,용산구,11.88
20190309,용산구,25.84
20190310,용산구,15.26
20190311,용산구,12.35
20190312,용산구,11.36
20190313,용산구,9.96
20190314,용산구,12.87
20190315,용산구,11.16
20190316,용산구,12.20
20190317,용산구,14.27
20190318,용산구,9.86
20190319,용산구,9.44
20190320,용산구,11.73
20190321,용산구,11.21
20190322,용산구,10.59
20190323,용산구,12.09
20190324,용산구,13.28
20190325,용산구,11.88
20190326,용산구,9.44
20190327,용산구,9.24
20190328,용산구,10.17
20190329,용산구,10.17
20190330,용산구,12.61
20190331,용산구,13.70
20190401,용산구,11.11
20190402,용산구,13.75
20190403,용산구,12.35
20190404,용산구,10.74
20190405,용산구,9.76
20190406,용산구,12.51
20190407,용산구,12.30
20190408,용산구,11.00
20190409,용산구,9.08
20190410,용산구,10.90
20190411,용산구,9.19
20190412,용산구,12.14
20190413,용산구,11.31
20190414,용산구,13.39
20190415,용산구,13.28
20190416,용산구,9.65
20190417,용산구,9.55
20190418,용산구,9.76
20190419,용산구,8.25
20190420,용산구,10.22
20190421,용산구,10.48
20190422,용산구,10.48
20190423,용산구,10.07
20190424,용산구,9.13
20190425,용산구,9.44
20190426,용산구,9.70
20190427,용산구,10.28
20190428,용산구,12.82
20190429,용산구,9.86
20190430,용산구,9.34
20190501,용산구,8.46
20190502,용산구,9.39
20190503,용산구,8.04
20190504,용산구,10.28
20190505,용산구,14.37
20190506,용산구,15.31
20190507,용산구,12.77
20190508,용산구,10.07
20190509,용산구,11.42
20190510,용산구,9.55
20190511,용산구,10.74
20190512,용산구,14.27
20190513,용산구,11.16
20190514,용산구,9.13
20190515,용산구,8.98
20190516,용산구,8.93
20190517,용산구,11.26
20190518,용산구,12.77
20190519,용산구,15.00
20190520,용산구,12.82
20190521,용산구,11.26
20190522,용산구,11.11
20190523,용산구,12.14
20190524,용산구,10.95
20190525,용산구,10.43
20190526,용산구,12.77
20190527,용산구,11.47
20190528,용산구,12.56
20190529,용산구,11.78
20190530,용산구,9.44
20190531,용산구,8.67
20190601,용산구,10.85
20190602,용산구,11.05
20190603,용산구,12.71
20190604,용산구,10.74
20190605,용산구,10.22
20190606,용산구,12.51
20190607,용산구,10.53
20190608,용산구,13.08
20190609,용산구,13.39
20190610,용산구,11.68
20190611,용산구,12.04
20190612,용산구,11.94
20190613,용산구,10.38
20190614,용산구,10.07
20190615,용산구,14.01
20190616,용산구,15.52
20190617,용산구,15.05
20190618,용산구,12.04
20190619,용산구,12.14
20190620,용산구,12.35
20190621,용산구,10.28
20190622,용산구,12.61
20190623,용산구,14.06
20190624,용산구,11.88
20190625,용산구,12.71
20190626,용산구,10.90
20190627,용산구,11.42
20190628,용산구,8.98
20190629,용산구,12.61
20190630,용산구,13.08
20190701,용산구,11.88
20190702,용산구,14.12
20190703,용산구,12.25
20190704,용산구,12.66
20190705,용산구,11.52
20190706,용산구,12.61
20190707,용산구,13.86
20190708,용산구,11.36
20190709,용산구,11.47
20190710,용산구,10.79
20190711,용산구,11.05
20190712,용산구,13.08
20190713,용산구,11.42
20190714,용산구,16.45
20190715,용산구,14.43
20190716,용산구,12.97
20190717,용산구,11.47
20190718,용산구,11.05
20190719,용산구,11.94
20190720,용산구,12.71
20190721,용산구,15.26
20190722,용산구,12.97
20190723,용산구,13.91
20190724,용산구,13.44
20190725,용산구,11.26
20190726,용산구,9.03
20190727,용산구,11.47
20190728,용산구,12.14
20190729,용산구,11.36
20190730,용산구,12.25
20190731,용산구,12.82
20190801,용산구,11.62
20190802,용산구,11.16
20190803,용산구,10.69
20190804,용산구,11.68
20190805,용산구,13.44
20190806,용산구,10.95
20190807,용산구,11.68
20190808,용산구,11.78
20190809,용산구,10.22
20190810,용산구,12.40
20190811,용산구,16.04
20190812,용산구,12.40
20190813,용산구,13.86
20190814,용산구,13.86
20190815,용산구,13.65
20190816,용산구,15.67
20190817,용산구,16.24
20190818,용산구,14.89
20190819,용산구,14.79
20190820,용산구,12.66
20190821,용산구,12.97
20190822,용산구,11.00
20190823,용산구,11.47
20190824,용산구,13.13
20190825,용산구,13.96
20190826,용산구,14.37
20190827,용산구,12.92
20190828,용산구,11.68
20190829,용산구,11.26
20190830,용산구,11.26
20190831,용산구,14.79
20190901,용산구,20.86
20190902,용산구,15.93
20190903,용산구,12.87
20190904,용산구,11.47
20190905,용산구,12.77
20190906,용산구,9.60
20190907,용산구,13.65
20190908,용산구,13.23
20190909,용산구,13.08
20190910,용산구,12.97
20190911,용산구,13.18
20190912,용산구,16.19
20190913,용산구,15.41
20190914,용산구,16.55
20190915,용산구,21.85
20190916,용산구,18.99
20190917,용산구,16.19
20190918,용산구,14.79
20190919,용산구,15.93
20190920,용산구,12.25
20190921,용산구,15.67
20190922,용산구,17.23
20190923,용산구,15.26
20190924,용산구,16.04
20190925,용산구,16.40
20190926,용산구,13.91
20190927,용산구,13.34
20190928,용산구,11.94
20190929,용산구,19.25
20190930,용산구,14.48
20160901,종로구,0.78
20160902,종로구,1.40
20160903,종로구,1.14
20160904,종로구,0.88
20160905,종로구,0.93
20160906,종로구,0.99
20160907,종로구,1.09
20160908,종로구,1.35
20160909,종로구,1.14
20160910,종로구,0.83
20160911,종로구,1.09
20160912,종로구,1.71
20160913,종로구,0.67
20160914,종로구,0.73
20160915,종로구,1.25
20160916,종로구,1.14
20160917,종로구,0.99
20160918,종로구,1.14
20160919,종로구,1.35
20160920,종로구,0.99
20160921,종로구,0.83
20160922,종로구,1.35
20160923,종로구,1.30
20160924,종로구,1.30
20160925,종로구,1.76
20160926,종로구,1.50
20160927,종로구,1.56
20160928,종로구,0.93
20160929,종로구,0.67
20160930,종로구,0.78
20161001,종로구,0.73
20161002,종로구,1.40
20161003,종로구,1.19
20161004,종로구,1.50
20161005,종로구,1.40
20161006,종로구,0.62
20161007,종로구,0.78
20161008,종로구,1.35
